Airline,IATA Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Zoom Air,ZO,-,0.001,0.004,0.003,0.003,0.002,0.001,0,0.001,0.003,0.004,0.004,0.03
Air Carnival,2S,0.01,0.01,0.013,0.001,-,-,-,-,-,-,-,-,0.03
Air Costa,LB,0.044,0.04,-,-,-,-,-,-,-,-,-,-,0.08
Air India Express,IX,0.01,0.006,0.005,0.007,0.008,0.004,0.005,0.005,0.01,0.014,0.011,0.016,0.1
Trujet,2T,0.03,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.03,0.03,0.48
Vistara,UK,0.3,0.27,0.29,0.3,0.33,0.34,0.35,0.36,0.36,0.37,0.37,0.41,4.05
AirAsia India,I5,0.29,0.24,0.28,0.3,0.33,0.35,0.34,0.42,0.39,0.45,0.44,0.49,4.32
GoAir,G8,0.79,0.75,0.8,0.74,0.86,0.81,0.74,0.78,0.81,0.92,0.93,1.08,10.01
SpiceJet,SG,1.23,1.13,1.19,1.18,1.28,1.27,1.36,1.36,1.32,1.36,1.32,1.43,15.43
Air India,AI,1.35,1.17,1.18,1.18,1.32,1.25,1.29,1.28,1.29,1.37,1.42,1.47,15.57
IndiGo,6E,3.81,3.42,3.61,3.78,4.19,3.83,3.7,3.68,3.67,4.13,4.13,4.43,46.38
