Year,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,393036,378573,389265,386227,444067,389883,380399,411981,408737,466696,476989,530569
2003,463978,455422,437585,429234,494345,503492,463219,441960,437570,516066,539185,565972
2004,542577,573164,561895,564903,658957,654619,579801,576894,586058,665901,731969,747857
2005,695806,668842,713069,709085,842155,833393,774902,783206,766607,883775,920651,977398
2006,940884,970430,1065542,1088459,1148203,1042401,1016601,1014744,1050020,1129399,1159187,1330637
2007,1243465,1250768,1316194,1355406,1423002,1420547,1322387,1312325,1254885,1377832,1441025,1461901
2008,1419562,1380258,1460457,1451303,1576667,1424751,1101329,1104930,1024279,1139017,1174603,1212719
2009,1215788,1350820,1297896,1216855,1508167,1517197,1403234,1415694,1337688,1571204,1541095,1752013
2010,1499009,1493435,1554893,1631005,1844582,1785144,1619906,1506091,1429267,1657111,1710892,1850642
2011,1783725,1735747,2113001,2026758,2268703,2277153,2011619,1930933,1795664,2208410,2241666,2226195
2012,2042683,2039133,2063039,2075169,2262913,2210184,1805416,1639536,1477141,1599239,1960506,1977246
2013,1868512,1864421,2062026,2004892,2229176,2077189,1954016,1962946,1745344,1998954,2050418,2129344
2014,1857580,1948233,2237585,2161741,2388151,2383844,2098004,2185771,2191205,2271156,2254800,2405280
2015,2313095,2331085,2466999,2592177,2838921,2732359,2719397,2657192,2617466,2798462,2939518,3088283
2016,2977333,3040618,3270267,3271591,3567065,3347942,3477225,3360871,3358251,3478193,3624668,3745169
2017,3751564,3486137,3737036,3710715,4097748,3882652,3787827,3814545,3748037,4155542,4042207,4331354
2018,4238135,4065409,4434031,4383869,4420077,4276157,4351957,4283128,4174874,4303012,4037360,4370713
2019,4206828,3826998,3889794,3581007,3857847,4032767,4337904,4277039,4225477,4421886,4636673,4522659
