Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,30854,29647,30621,31258,39706,31698,31123,33488,31206,33948,36230,39905
2003,36902,35249,29423,30235,38674,36581,34858,32872,34339,36768,41895,45402
2004,44038,44468,46165,42319,49235,49522,48016,49779,46764,48207,54742,56446
2005,55060,49568,51291,51343,57953,59597,67935,68591,65617,75270,76468,90724
2006,91482,93320,106991,114575,123267,114088,114726,113936,115807,123553,127059,151050
2007,147463,139715,142699,135234,148458,141677,150356,141467,123058,130906,151807,161684
2008,152006,66890,143831,158388,165257,153489,135232,126766,114712,131522,141904,160737
2009,154789,154380,146364,158605,185233,175310,174892,155183,155981,186628,192182,220241
2010,205863,198076,201924,216825,235014,228571,219312,219351,210684,234121,239671,249569
2011,236354,228174,235154,236990,266990,261325,262586,264284,242098,254980,296750,302590
2012,295607,283349,261802,272850,293926,272437,258369,254685,231447,236121,274134,295475
2013,285970,278913,280302,285369,320239,291729,291487,312548,272190,273260,292814,326941
2014,284539,268432,275995,293163,347398,320998,305560,339492,336625,335229,341132,371889
2015,365115,352528,358572,401146,427925,398740,422008,424137,415742,424958,433152,453101
2016,456906,447998,470397,490436,544142,499713,536124,531417,513568,519945,560130,577508
2017,596653,564861,577508,580176,647432,623947,629128,651608,625006,668284,680771,714714
2018,706234,668425,696009,727429,762191,762335,743367,739376,709400,747483,723070,756288
2019,759074,692477,696476,678370,552195,687661,707762,698106,672484,671104,697456,731770
